[2020-02-13T01:57:43,779] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:57:47,850] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:57:51,918] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:57:55,989] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:58:00,052] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:58:04,138] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:58:08,201] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:58:12,266] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:58:16,338] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:58:20,403] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:58:24,468] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:58:28,551] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:58:32,606] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:58:36,668] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:58:40,725] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:58:44,793] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:58:48,865] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:58:52,932] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:58:57,001] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:59:01,075] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:59:05,146] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:59:09,210] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:59:13,273] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:59:17,336] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:59:21,403] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:59:25,466] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:59:29,534] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:59:33,599] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:59:37,666] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:59:41,719] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:59:45,778] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:59:49,836] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:59:53,909] <db-server> INFO  db     - DbServer stopped
[2020-02-13T01:59:57,976] <db-server> INFO  db     - DbServer stopped
[2020-02-13T02:00:02,040] <db-server> INFO  db     - DbServer stopped
[2020-02-13T02:00:06,101] <db-server> INFO  db     - DbServer stopped
[2020-02-13T02:00:10,165] <db-server> INFO  db     - DbServer stopped
